Question	Words count	Misspeling count	Misspeling errored	Question Length
сколько длиться столетний война	4	0	0	31
за какой команда ныл играть Сергей боровский	7	3	0	45
какой этот предмет являться музыкальный инструмент мегафон магнитофон металлофон	9	1	0	80
при помощь рыбак проверять глубина водно м	7	1	0	41
сколько нога паук	3	0	0	17
когда создать сообщество «клевер»	4	1	0	34
как звать наш Михаил ф одр романов	7	2	0	34
какой город советский войско освобождать нацист подписание германия капитуляция	9	0	0	79
какой страна коммунистический строй существовать	5	0	0	48
накушаться	1	0	0	10
как называться один книга серия авантюрный детектив Ольга Рязань дама особый поручений российский писательница Татьяна поляков	16	4	0	130
сборная страна выиграть футбольный турнир олимпийский игра год Москва	9	1	0	69
кто этот футболист забить наибольший количество гол один розыгрыш чемпионат мир футбол	12	0	0	86
полный имя исполнитель выступать никнем	5	1	0	40
как самый дело звать мерили на масон	6	2	0	36
как звать главный герой игра	5	0	0	28
за фильм леопардом дик Капри не получать номинация премия «оскар»	10	3	0	64
какой озеро территория Казахстан	4	1	0	32
где проходить финал литр число	5	0	0	30
какой этот животное полосатый	4	0	0	29
какой пистолет один побывать космос	5	0	0	35
какой гора являться три высота мир	6	0	0	34
из какой язык слово «мамихлапинатапай»	5	0	0	38
кто создать один мир полномасштабный само тов	7	1	0	46
в какой год начаться два мировой война	7	0	0	38
какой компания основать ранний остальной	5	0	0	40
турист приезжать майор обязать заплатить налог	6	1	0	47
в какой год родиться а с Пушкин	7	1	0	31
какой сч т продукт компания линейка	6	0	0	35
для нужный салон большой ухо	5	0	0	28
какой страна располагаться территория принадлежать исторический государство сигам	8	1	0	80
сколько дуэль а с Пушкин	5	1	0	24
какой кампания разрабатывать игра	4	0	0	33
в какой следующий российский город проживать пятисотый тысяча человек	9	1	0	68
сколько игра клевер провести	4	0	0	28
какой звук изд том рыба	5	0	0	23
кто этот акт р кино вселенная знать тор	7	1	0	38
как другой называться ацетилсалициловый кислота	5	0	0	47
сколько миллиметр километр	3	0	0	26
в число метр измеряться сила ток	6	0	0	32
самый высокий точка Европа это	5	1	0	30
при какой царь появиться книгопечатание Русь	6	1	0	44
какой длина толстой кишка человек	5	0	0	33
фамилия какой академик упоминаться каждый игра что где когда	9	0	0	60
что легко развалиться	3	0	0	21
сколько буква славянский алфавит	4	0	0	32
в год германия наказать развязывание война наказать Спарта что это наказание	11	1	0	76
как называться искусство создание фигурка бумага применение ножницы клеить	9	0	0	74
что такой биолит	3	1	0	17
сколько за м том половина том земля Марс скорость свет	10	1	0	54
в век наряд использовать мужчина с век сделать женский элемент одежда что это наряд	14	0	0	83
кто являться председатель РФ	4	1	0	28
какой пиво любить номер Самсон	5	2	0	31
сколько битый один байт	4	0	0	23
в какой год изобрести фотоаппарат	5	0	0	33
в какой год провести один мир спортивный олимпиада	8	0	0	50
самый пожилое человек побывать космос	5	0	0	37
гора бог или ада	3	1	0	15
какой российский император легенда подстроить смерть стать жить имя Федора Кузьма	11	2	0	81
название самый огромный число подписчик канал	6	0	0	45
какой лиотропный модификация фосфор существовать	5	1	0	49
сколько старик встречаться золотой рыбка море сказка	7	0	0	52
кто предводитель лютеранский церковь	4	0	0	36
что такой кош ВАК	4	1	0	17
у какой футболист прозвище уголь	5	1	0	34
как креститься старовер	3	0	0	23
в какой человеческий орган находиться наковальня молоточек	7	1	0	57
из делать крабовый палочка	4	0	0	26
сколько кость взрослый человек	4	0	0	30
какой рт х название иметь Волгоград	6	2	0	35
с какой сч выиграло персонаж властелин кольцо бой против оковы один часть смотреть гобийский перевод	15	3	0	102
самый высокий хоккеист играть кл	5	1	0	33
когда день рождение Владимир Владимир паутин	6	3	0	43
что любить кричать известный мы весь российский репер	8	0	0	53
какой этот птица летать	4	0	0	23
какой государство являться самый маленькая мир	6	0	0	46
в какой год отменить крепостной право российский империя	8	0	0	56
как звать проповедник одним энный сериал	6	2	0	40
как называться очки заушный дужка	5	0	0	33
кома никто писать песня баи	5	1	0	26
за какой сумма российский империя продать США Аляска	8	2	0	52
как звать основатель	3	0	0	20
традиционный религия еврей	3	0	0	26
кто перечисленный представитель животное мир не являться охранять	8	0	0	65
столица Башкирия	2	1	0	16
кто написать пьеса много шум ничего	6	2	0	37
кто один князь великое княжество литовский	6	0	0	42
шхун ферзь зипун это	4	2	0	22
как звать главный герой сериал брелок	6	1	0	37
кто изобарный литр парашют	4	1	0	24
сериал какой название не выходить телеканал тент	7	1	0	47
кто самый молодая маршал СССР	5	1	0	29
сколько процент вода ново рожд энный человек	6	2	0	42
какой этот страна являться ядерный держава	6	0	0	42
что собирать растение	3	0	0	21
сколько автономный сообщество Испания	4	1	0	37
я купить бюргера за клевера за код от он не нахолятнаходить в база бюргера книг помочь пожалуйста	17	4	1	98
кто плювиофил	2	0	1	13
в какой год основать футбольный клуб Спартак Москва	8	2	0	51
когда клевер рекордный кола победитель	5	0	0	38
до конец век английский королевский двор должность откупорки бутылка какой бутылка открывать	12	1	0	93
где проводиться один зимний олимпийский игра	6	0	0	44
какой один псевдоним Антон Павлом чехов	6	2	0	38
когда человек смотреть звезда какой время видеть	7	0	0	48
из какой кость состоять пояс верхний конечность человек	8	0	0	55
география наука зародиться древний	4	0	0	34
в фильм Гарри плоттер сколько сказать потребоваться время приготовление оборотный зелье	11	2	0	88
как называться самый один компьютер	5	0	0	35
сколько жизнь кошка	3	0	0	19
с исторический личность не хотеть подраться главное герой фильм бойцовский клуб	11	0	0	79
на скользка холм стоить город Рим столица Италия	8	3	0	47
какой этот бастион петропавловский крепость существовать	6	0	0	56
какой вид спорт не входить программа олимпийский игра	8	0	0	53
от президент страна получить медаль американский винный критик Роберт парке	10	2	0	76
какой телефон пользоваться герой фильм «матрица» небо	7	1	0	52
как называться ускоритель элементарный частица	5	0	0	46
как звать старший сестра император Петра первое	7	1	0	47
какой поп исполнитель использовать припев свой песнь слово доносить ноной песнь Алла пугач вой	14	3	0	92
как называться созвездие небосклон иметь форма инструмент питья	8	2	0	65
самый большой океан	3	0	0	19
кто вывести уравнение	3	0	0	21
что такой шапирограф	3	1	0	20
чей стих использоваться композитор шостакович написание й симфония	8	0	1	66
что такой розамунда	3	0	1	19
почему убрать спикер магазин	4	1	0	28
как называть головной убор монах	5	0	0	32
как называться отрезка соединять вершина треугольник середина противоположный сторона	9	0	0	85
как называться вид скалолазание использовать страховка трасса малое кола перехват	10	0	0	81
сколько продолжаться пол т ю гагарий	6	1	0	36
кто президент США написать свой собственный рассказ брелок Холмск	9	3	0	64
какой рост наполеон боннопарта	4	0	1	30
в страна придумать олимпийский игра	5	0	0	35
каков размер кротовый нора	4	0	0	26
что коллекционировать филобутонист	3	0	1	34
какой самый ядовитый змея этот рт х	7	1	0	35
как называть медведь	3	0	0	20
какой высота эльфов ой башня	4	1	0	27
кто петь песня около футбол	5	0	0	27
назвать страна наибольший плотность население	5	0	0	45
кто являться самый быстрый наземный животный	6	0	0	44
какой анисе один один попасть советский кинопрокат	7	1	0	50
что величина равный один единица промилле	6	0	0	41
какой число являться наименьший натуральный	5	0	0	43
апрель состояться один концерт лис прели ласка Вегас известность прели настолько широкий многие человек называть лишь имя лис драк какой полный имя король рок наш долл	26	8	0	171
за школа выгонять	3	0	0	17
сколько год длиться столетний война	5	0	0	35
с какой животный готовый расстаться голодный человек	7	0	0	52
в какой единица измеряться индукция магнитный Поль	7	1	0	50
какой материк пересекаться весь меридиан	5	0	0	40
сколько максимум вода налить кружка об м купить обычный магазин	10	1	0	64
сколько ч юный сектор рулетка	5	1	0	29
как звать кличка Виктор акрид брат слогана	7	3	0	40
что сделать дядя плата рт мультфильм простокваши разбогатеть	8	2	0	61
в сколько год человек становиться подросток	6	1	0	45
от страна отделиться Норвегия	4	1	0	29
какой этот певица иметь барбадосский происхождение	6	0	1	50
какой этот растение являться голо семенной	5	1	0	41
кто написать книга игра престолов	5	2	0	35
в какой этот стиль танец использоваться основное рука	8	0	0	53
в какой город расположить основный производство завод «камаз»	8	0	0	61
кто стать самый молодая гроссмейстер история шахматы	7	0	0	52
не видеть форма обратный связь пройти вопрос деньга сумма мизерный сбой ваш сторона	13	0	0	83
сколько буква «клевере» осторожно вопрос такова «мягкий»	7	1	0	56
какой планет находиться дал кий солнце солнечный система	8	0	0	56
в какой вид спорт Россия завоевать один золотой олимпийский медаль	10	1	0	66
как называться пристать пароход вода пантеон дебаркадер тралил	8	2	0	60
кто древнегреческий мифология покровительница брак	5	0	0	50
какой медаль вручить Юрий гагарий один пол т космос	9	2	0	51
где состояться зимний олимпийский игра год	6	0	0	42
какой форма рифма постоянно использовать многие известный поэт нэп тусовка считаться «зашкварной»	12	1	0	97
игра клевер абсолютно смешно вопрос кто сеять шутник создатель умник умница и защититься бот контакте	15	1	0	102
что час маленький минута	4	0	0	24
сколько грань иметь геометрический фигура додекаэдр	6	0	0	51
какой эпизод зав единый воин выйти один	7	2	0	37
каков длина самый высокий человек мир	6	0	0	37
какой шина запретить эксплуатировать большинство европейский страна	7	0	0	67
как называться два фильм дейтон Борн	6	2	0	37
в какой мор утонуть	4	0	0	19
ежесуточно земля прибавлять вес тонна за сч т	8	0	0	45
кто самый красивый	3	0	0	18
к кухня относиться пельмень	4	0	0	27
как называться слово одинаковый написание разный значение	7	0	0	57
какой знак зодиак существовать	4	0	0	30
у вопрос шанс стать сяким прич метр предлагать снять бильярд разбивать пирамида шар надпись ст кий вопрос падать луза дело стол шаров это сам пирамида биоток выигрывать положить луза шаров стол пирамида биоток логично выигрывать положить луза шаров соперник остаться восемь забить том сам вопрос сколько шаров пирамида русский бильярд американка	50	4	0	342
какой поисковый система занимать четыре место среди поисковый система мир обрабатывать запрос	12	0	0	93
какой мировой рекорд прыжок шест являться действующий принадлежать Сергей Назар бука	11	4	0	85
разблокировать группа клевер пылище	4	1	0	34
кто являться законорожд энный	4	1	1	28
как галактика близкий млечный путь	5	0	0	34
современный родственник трилобит	3	0	0	32
какой самый популярный социальный сеть	5	0	0	38
кто обложка альбом группа битл изобразить обувь	7	1	0	48
учение свет учение закончить поговорка	5	0	0	38
название какой произведение нет среди повесть рассказ а плата чехов	10	0	0	67
какой газ являться самый л кое	6	1	0	31
какой цвет глаз в в паутин	6	1	0	25
сколько пара р бери человек	5	1	0	26
на флаг США зав зад количество штат полоса флаг число рано белый который сколько	14	4	0	77
в какой год открытый один мир обсерватория	7	1	0	42
какой представить животное существовать	4	0	0	39
какой скорость свет	3	0	0	19
кто озвучивать русский губка боб	5	0	0	32
сколько сутки курица высиживать пыл но	6	2	0	40
в х х Нефтеюганск называть маленькая Японией а остальной часть страна старожил сей пора называть	15	3	0	98
как звать человек который один выделить плесень пенициллин	8	0	0	58
в какой год основать краснодарский край	6	0	0	39
в африканский страна зафиксировать температура градус Цельсий	7	1	0	61
в какой год изобрести один наушник	6	0	0	34
кто этот политический деятель президент	5	0	0	39
сколько икринка откладывать маленький лягушка	5	0	0	45
в какой год ледовый побоище	5	0	0	27
в какой год начаться два мировой война	7	0	0	38
как индюк самец отреагировать отрезать голова самка	7	0	0	51
глубина марсианский впадина	3	1	0	26
дата окончание два мировой война	5	0	0	32
какой море карта мир	4	0	0	20
какой актриса сыграть Анна Герман сериал Анна Герман	8	4	0	52
как звать дед торена дубит трилогия Дж р р толщина «хоббит»	11	4	0	61
измеритель леса	2	0	0	15
какой хоккейный вратарь впервые надеть маска защищать травма	8	0	0	60
в поезд стопа кран красный цвет какой цвет само тот	10	3	0	54
что являться валюта игра галлату	5	1	0	32
чей голос говорить заглавный герой мультфильм приключение капитан врун гель	9	1	0	74
когда появиться земля	3	0	0	21
на какой озеро биться Александр невский год рыцарь тевтонский орден	10	1	0	67
сколько город присвоить звание город герой	6	2	0	44
деверь	1	0	0	6
сколько нога улитка	3	0	0	19
сколько грань куб	3	0	0	17
кто со правитель Петра первое первое время правление	7	2	0	51
как называться порода кошка короткий лапа	6	0	0	41
какой процессор использовать марафон	4	1	0	37
в какой год придумать ремень безопасность	6	0	0	41
в футбольный команда состоять гарем эй	6	2	0	41
как перевод итальянский «спагетти»	4	0	0	34
глубина марсианский впадина	3	1	0	26
кто один умереть фильм мститель война бесконечность	7	1	0	50
какой этот футболист получать маленький золотой мяч	7	0	0	51
это судно помочь викинг стать захватчик Европа	7	1	0	46
какой сборная футбол стать один чемпион мир	7	0	0	43
какой прибор не являться измерительный	5	0	0	38
сколько день существовать город Устином	5	1	0	39
в какой год созданною московский метро	6	1	0	37
кто являться автор книга в дороге	6	2	0	35
как называться боязнь снег	4	0	0	26
к какой подотряд относиться нарвал	5	0	0	34
кто ты приходиться зять муж	5	0	0	27
какой перечисленный небесный тело являться спутник юпитер	7	0	0	57
что изобразить медаль нобелевский премия мир	6	0	0	44
на край стол поставить банка плотно закрыть крышка банка свислый ас стол что банка	14	1	0	82
самый «солнечная» фигура геометрия	4	0	0	34
как называться самый старый пустыня мир	6	0	0	39
кто этот черви иметь полость тело	6	0	0	33
сколько существовать цифра	3	0	0	26
сколько год длиться столетие война	5	0	0	34
чем являться луна	3	0	0	17
в какой город памятник семья	5	0	0	28
какой покерный комбинация перечисленный являться самый младший	7	0	0	62
в мозг	2	0	0	6
кто изображу наш известный картина сербов девочка персиками	8	4	0	59
что находиться день сч юный дыры	6	3	0	33
в какой год Крым присоединиться Россия	6	2	0	38
какой князь обязать облик современный кремль	6	0	0	44
как называться галактика находиться планет земля	6	0	0	48
какой порода собака мм доносить энный произведение и с тургегев	10	3	1	62
кто этот певцов родом Канада	5	1	0	28
кто создать сериал «покемон»	4	0	0	28
какой интервал существовать музыка	4	0	0	34
сколько	1	0	0	7
кто советский политический деятель завезти СССР кукуруза	7	1	0	56
для использоваться вершина эмпайра стерт холдинга	6	2	1	49
кто придумать интернет	3	0	0	22
какой птица мочь спать л т	6	0	0	26
что обещать каждый советский семья год руководитель КПСС	8	1	0	56
в какой месяц год человек спать маленький	7	0	0	41
из какой вид растение производить мексиканский текла	7	1	0	53
какой этот музыкант не играть группа	6	0	0	36
какой вид кокер спаниель	4	1	0	25
в какой год умереть Александр Сергей Пушкин	7	3	0	43
сколько клавиша классический рояль	4	0	0	34
к какой тип музыкальный инструмент относиться зурна	7	0	0	51
какой сооружение являться самый высокий мир США Китай Турция ОАО Россия	11	5	0	71
в какой город расположить университет организация объединить нация	8	0	0	66
самец рыба вынашивать деть шея	5	1	0	32
как звать клоун роман ставен книг «оно»	7	2	0	39
кто выиграло игра финал кубок стенали	6	2	0	36
что делать дает кыш сиамский крокодил начинать волноваться испытывать страх	10	2	0	74
в какой футбольный клуб Англия играть Андрей аршин	8	3	0	53
какой фамилия дядя ст псы стихотворение с Михаилов	8	2	0	49
какой число являться двойной система счисление	6	0	0	46
основный заслуга число дар вин развитие биология заключаться	7	1	0	59
чем являться банан	3	0	0	18
что являться ягода	3	0	0	18
что делать селе Ника	4	2	0	20
кто знаменитость гость вечерний урагана	5	1	0	38
в какой вид псевдоним пропускаться часть буква имя фамилия	9	0	0	58
в какой год Польша Литва подписать союзный люблинский уния стать единый государство речь посолить	14	3	0	98
сколько кость человек	3	0	0	21
какой самый низкий температура зафиксировать земля	6	0	0	50
в какой год начаться русско японский война	7	0	0	42
когда начиная великий отечественный война	5	1	0	42
как называться измерительный прибор помощь который измерять высота сопка холм	10	0	0	77
где проходить чемпионат мир футбол год	6	0	0	38
число «п» алгебра приблизительно равно	5	0	0	38
за метр с горбач вошь литр книга рекорд гинею	9	2	0	45
какой этот язык не относиться индоевропейский семья	7	0	0	51
какой цвета флаг Россия означать мир чистота	7	1	0	44
что равный полнота фрикционный клин железнодорожный тележка грузовой вагон	9	0	0	74
в страна изобрети наш рецепт тайский блинчик «роти»	8	1	0	50
какой неформальный клуб музыкант существовать действительность	6	0	0	62
почему ответить правильно шесть вопрос зачислить клевера писать случиться ошибка хотя работать интернет играть два устройство пожалуй стать вернуть клевера	19	3	0	156
какой футбольный игрок иметь прозвище «дядя»	6	0	0	44
что контрольный который ответ писать выбирать	6	0	0	45
почему время игра экран вопрос ведущий работать перебой заседаний	9	1	0	64
так бывать отвечать «спасибо»	4	0	0	29
какой настоящее имя украинский певица Ани лора	7	2	0	47
как звать дочь креол сериал ходячий мертвец	7	1	0	43
в какой год образоваться компания	5	0	0	33
что такой варка	3	1	0	17
в какой год один «прорывным» проект Джека чан стать фильм змея темнить орла	13	4	0	77
учение военнослужащий кодовый название «снежок» применение ядерный оружие проходить	9	0	0	83
в этот страна самый большой плотность население мир	8	0	0	51
канд затонуть титанид	3	2	0	21
что такой доброта	3	0	0	17
чем согласно правило игра майнкрафт укрыться эндермена	7	0	2	54
как другой называться южный тропик	5	0	0	34
какой количество нейрон мозг человек	5	0	0	36
кто автор песнь	3	0	0	15
самый продавать консоль история	4	0	0	31
кто избранный председатель петроградский совет сентябрь год	7	0	0	59
какой компания создать множество игра слоника	6	1	0	44
кто чаща выигрывать кубок Испания футбол	6	1	0	40
из какой материал сделать памятник медный всадник	7	2	0	51
как другой называть растение комнатный растение замиокулькас	7	0	1	60
по что ходить часто ездить редко	6	0	0	32
к какой отряд животное относиться барсук	6	0	0	40
какой газ являться самый литр грим	6	1	0	34
как называться литературный при м два строка стихотворение заканчиваться один тот слово	12	0	0	87
сколько год Анне ка ренин момент гибель произведение литр наш толстой	10	2	0	68
три размер планет солнечный система	5	0	0	35
где пров литр свой последний день чае Гавр	8	2	0	42
что такой передышке	3	1	0	19
что входить конфуцианский пятикнижие	4	0	1	36
как звать главный герой серия фильм ставен спилберг археолог фамилия Джон	11	2	1	74
какой название носить год Пермь период год	7	1	0	42
если бог всемогущий смочь создать камень который смочь поднять	9	0	0	62
мужской подовый гормон являться	4	1	0	31
какой наряд прославить баснописец крыло	5	1	0	40
сколько закон физика открытый ньютон	5	0	0	36
объесть память золотой рыбка составлять	5	0	0	39
купить промок од число дадим промок од который действовать	7	3	0	55
когда начаться один мировой война	5	0	0	33
в какой год основать город Магнитогорск	6	1	0	39
какой город входить Россия	4	1	0	26
как называться футбольный клуб ЦСКА	5	1	0	35
у порода кошка шерсть волнистый	5	0	0	31
в какой год СССР ввести сухой закон	7	1	0	35
максимальный набор очки один игрок настольный теннис составлять	8	0	0	63
арбуз это	2	0	0	9
почему производитель баскетбольный кроссовок заключать контракт игрок создание совместный линейка обувь	11	0	0	103
какой российский режиссер р не являться лауреат премия Оскар	9	2	0	58
в какой год впервые выйти мобильный телефон	7	0	0	43
кто принять считать истинный родоначальник эпоха возрождение литература	8	0	0	71
какой этот игра выпустить ранний х другой	7	0	0	41
какой фамилия главный герой игра единство	6	0	0	41
как называться игра футбол мотоцикл	5	0	0	35
в какой год основать	4	0	0	20
какой цвет самый холодное звезда	5	0	0	32
сколько буква английский алфавит	4	0	0	32
сколько год длиться столетний война	5	0	0	35
чем стоить тушить кипеть масло	5	0	0	30
как звать проводник дате аду известный произведение	7	1	0	52
у кто перечисленный хромосома маленький	5	0	0	39
что китаец пить избавиться усталость	5	0	0	36
самый быстрый хищный зверь	4	0	0	26
в какой год начаться великий отечественный война	7	0	0	48
кто отменить крепостной право год	5	0	0	33
река какой название территория Россия	5	1	0	37
в какой год паутин в в стать один президент РФ	10	2	0	45
размер город Антарктида отколоться айсберг год	6	1	0	46
население какой город Россия	4	1	0	28
как называться большой круг небесный сфера который происходить видимый годичный движение солнце	12	0	0	95
в какой город находиться самый большой плавучий стадион	8	0	0	55
сколько боев ф одра емельяненко	5	1	1	31
в какой год геноцид Армения	5	1	0	27
как переводиться	2	0	0	16
столица какой государство являться город Катманду	6	1	0	49
как звать кот фермиона книга Гарри плоттер	7	3	0	41
в какой год основать компания производство	6	0	0	42
какой животный древние египтянин учить прислуживать стол	7	0	0	56
какой страна один применить танк война	6	0	0	38
снимка находиться экран монитор марафон	5	1	0	40
какой змей легенда жить побережье Крым	6	1	0	38
кто являться рекордсмен количество взять золотой граммофон	7	0	0	58
в галактика жить	3	0	0	16
один русский алфавит	3	0	0	20
сколько материк наш планета	4	0	0	27
как время сем одежный ваг выдающийся русский мореход называть тихий океан	11	2	0	71
что являться ягода	3	0	0	18
написать цинний пух	3	1	0	19
где выигрыш рубль начислять	4	2	0	27
какой страна следующий список численность население возрастание Россия	8	1	0	70
где находиться географический центр Европа	5	1	0	42
у очка убарагасаки тирания вооружи энный девушка парик голов	9	3	1	58
как называться автоматический станция стать один искусственный спутник луна	9	0	0	75
какой пилот формула удаться завоевать чемпионский титул подряд	8	0	0	62
в какой слово «е» никакой другой гласный	7	0	0	40
кто грохот	2	1	0	11
какой цвета являться траурный Китай Япония	6	2	0	42
какой показатель бензин характеризовать детонационный стойкость топливо	7	0	0	71
какой вещество леопардом вини назвать сок жизнь	7	2	0	47
что перевод латинский означать кличка питомец главный герой произведение юго человек который смеяться	13	1	0	102
в Азия белый Бразилия пурпурный Мексика ж лютый Европа ч юный назвать	12	6	0	68
в какой город век создать один Россия университет	8	1	0	49
как звать предводитель чью имя похож салат	7	2	0	42
на какой полуостров расположить государство Греция	6	1	0	50
к какой класс относиться углеводород метан	6	0	0	42
в страна мир рождаться рыжеволосый человек люба	7	0	0	47
сколько город стоять река Обь	5	1	0	29
когда Литва официально вступить европейский союз	6	1	0	48
кто мультфильма цинний пух самый умный	6	2	0	37
в битва умереть наполеон	4	0	0	24
какой число издать манифест отмена крепостной право год	8	0	0	55
самый большой город мир	4	0	0	23
в страна придумать хоккей	4	0	0	25
с песня выступать конкурс Сергей Лазаре	6	2	0	40
кто создатель культовый мультфильм Маша медведь	6	2	0	49
в какой год появиться один железный дорога Россия	8	1	0	49
к нигсберг другой назвать	4	0	1	25
какой вид анализ не использоваться математический статистика	7	0	0	60
сколько нога улитка	3	0	0	19
какой телевизионный канал время СССР Москва	6	2	0	43
что равный сумма число	4	0	0	22
какой медаль вручить Юрий гагарий один половина тот космос	9	2	0	58
что появиться ранний курица яйцо	5	0	0	32
кто получить большой выгода итог один мировой война	8	0	0	51
в какой год в в паутин впервые стать президент РФ	10	2	0	48
как называться вымышленный психиатрический больница комикс вселенная	7	0	0	68
город какой название существовать США	5	1	0	37
что означать слово балда	4	0	0	24
как называться два мир дебит величина родник	7	0	0	44
на футбольный матч приходить человек до начало игра угадывать сч т как это делать	14	0	0	81
как нарывается мор который Сочи	5	2	0	32
когда произойти восстание конский	4	1	0	35
сколько турнир большой шлем насчитываться современный теннис	7	0	0	60
какой самый холодный город мир	5	0	0	30
какой сч тот земля солнечный система	6	0	0	36
столица Бразилия	2	1	0	16
кто озвучивать дед мультсериал барботин	5	1	1	40
какой этот мотоцикл производиться не СССР	6	1	0	41
аааааааааааааа	1	0	1	14
по какой признак гиена относить бочкообразный	6	1	0	45
какой число праздноваться международный день медицинский сестра	7	0	0	63
в какой государство самый крупный восстание раб	7	0	0	47
какой профессия дядя ст псы	5	1	0	26
в наибольший содержание витамин с	5	0	0	33
какой животный самый бесстрашный планета	5	0	0	40
когда родиться паутин	3	1	0	20
скользка кратный гной советский союз Георгий Константин жуков	8	3	0	60
в каковский а среди дурак заканчиваться фраза	7	2	0	47
какой один песня группа	4	0	0	23
сколько год Егор акрид	4	2	0	21
а и б сидеть труба а упасть б пропасть кто остаться труба	12	0	0	57
кто российский футболист играть известный английский клуб тоттенхэма	8	0	1	68
сколько станция петербургский метро	4	0	0	35
каурый лошадь какой цвет	4	0	0	24
какой жилища бог	3	0	0	16
что равно число пи	4	0	0	18
за однажды арестовать знаменитый композитор бетонный	6	1	0	52
сакура переводиться	2	0	0	19
знаменитый фраза створов звучать тяжело учение	6	2	0	47
через какой часть тело дышать человек	6	0	0	37
кто один князь великое княжество литовский	6	0	0	42
какой рыбка утонуть	3	0	0	19
почему человек злой	3	0	0	19
какой песня Ольга буков возглавить побить мировой рекорд	8	2	0	56
какой место занимать Россия рейтинг уровень счастье	7	2	0	51
при какой император российский империя отменить крепостной право	8	0	0	64
продолжить песня зефира хотеть	4	1	0	31
как называться часть слово корень окончание	6	0	0	43
пират какой море капитан Джек воробей	6	1	0	37
какой этот советский фильм не получать премия «оскар» номинация хороший фильм иностранный языке	13	2	0	97
древний римский бог иметь лицо	5	0	0	30
чем играть хоккеист мяч шар шайба	6	0	0	33
сколько основный иероглиф содержимый японский слоговой азбука ураган	8	1	0	69
